datetime,T1,T2,T3,T4
2024-06-06 12:30:44,0.5,0.375,0.4375,0.5
2024-06-06 13:00:56,0.5,0.3125,0.375,0.4375
2024-06-06 13:31:27,0.5,0.375,0.375,0.5
2024-06-06 14:00:55,0.5,0.375,0.4375,0.5
2024-06-06 14:30:45,0.5,0.375,0.4375,0.5
2024-06-06 15:00:56,0.5,0.3125,0.375,0.5
2024-06-06 15:30:56,0.4375,0.3125,0.375,0.4375
2024-06-06 16:00:56,0.375,0.25,0.3125,0.375
2024-06-06 16:32:49,0.375,0.25,0.25,0.375
2024-06-06 17:00:55,0.375,0.25,0.3125,0.375
2024-06-06 17:30:56,0.375,0.25,0.3125,0.375
2024-06-06 18:00:56,0.3125,0.1875,0.25,0.3125
2024-06-06 18:30:43,0.3125,0.1875,0.25,0.3125
2024-06-06 19:00:56,0.3125,0.1875,0.25,0.3125
2024-06-06 19:31:24,0.3125,0.125,0.1875,0.3125
2024-06-06 20:00:54,0.3125,0.1875,0.25,0.3125
2024-06-06 20:30:45,0.375,0.25,0.25,0.375
2024-06-06 21:00:57,0.3125,0.1875,0.25,0.375
2024-06-06 21:30:56,0.3125,0.1875,0.25,0.3125
2024-06-06 22:00:56,0.375,0.1875,0.25,0.3125
2024-06-06 22:31:20,0.3125,0.1875,0.25,0.375
2024-06-06 23:00:54,0.3125,0.25,0.25,0.375
2024-06-06 23:30:56,0.375,0.25,0.3125,0.375
2024-06-07 00:00:56,0.3125,0.1875,0.25,0.375
2024-06-07 00:30:45,0.3125,0.1875,0.25,0.3125
2024-06-07 01:00:56,0.25,0.125,0.125,0.25
2024-06-07 01:31:30,0.25,0.0625,0.125,0.25
2024-06-07 02:00:54,0.25,0.125,0.1875,0.25
2024-06-07 02:30:43,0.25,0.125,0.1875,0.3125
2024-06-07 03:00:56,0.375,0.25,0.3125,0.375
2024-06-07 03:30:56,0.4375,0.3125,0.375,0.4375
2024-06-07 04:00:56,0.5,0.375,0.4375,0.5
2024-06-07 04:31:19,0.5625,0.4375,0.5,0.5625
2024-06-07 05:00:54,0.5625,0.4375,0.5,0.5625
2024-06-07 05:30:56,0.5625,0.4375,0.5,0.5625
2024-06-07 06:00:56,0.5625,0.4375,0.5,0.5625
2024-06-07 06:30:42,0.4375,0.3125,0.375,0.4375
2024-06-07 07:00:56,0.4375,0.3125,0.375,0.4375
2024-06-07 07:31:33,0.5,0.3125,0.375,0.5
2024-06-07 08:00:54,0.4375,0.3125,0.375,0.4375
2024-06-07 08:30:45,0.4375,0.3125,0.375,0.4375
2024-06-07 09:00:56,0.4375,0.3125,0.375,0.4375
2024-06-07 09:30:56,0.375,0.25,0.3125,0.375
2024-06-07 10:00:56,0.375,0.25,0.3125,0.375
2024-06-07 10:31:08,0.3125,0.1875,0.1875,0.3125
2024-06-07 11:00:55,0.25,0.125,0.1875,0.25
2024-06-07 11:30:57,0.25,0.0625,0.1875,0.25
2024-06-07 12:00:56,0.3125,0.125,0.25,0.3125
2024-06-07 12:30:45,0.3125,0.1875,0.25,0.3125
2024-06-07 13:00:56,0.375,0.25,0.3125,0.375
2024-06-07 13:31:31,0.4375,0.3125,0.375,0.4375
2024-06-07 14:00:55,0.625,0.5,0.5625,0.625
2024-06-07 14:30:45,0.6875,0.5625,0.625,0.6875
2024-06-07 15:00:56,0.6875,0.5625,0.625,0.75
2024-06-07 15:30:57,0.625,0.5,0.5625,0.625
2024-06-07 16:00:56,0.6875,0.5625,0.5625,0.6875
2024-06-07 16:31:12,0.6875,0.5625,0.625,0.6875
2024-06-07 17:00:54,0.75,0.5625,0.625,0.75
2024-06-07 17:30:57,0.75,0.625,0.6875,0.75
2024-06-07 18:00:56,0.6875,0.5625,0.625,0.6875
2024-06-07 18:30:44,0.5625,0.4375,0.5,0.625
2024-06-07 19:00:55,0.6875,0.5,0.5625,0.6875
2024-06-07 19:31:23,0.6875,0.5625,0.625,0.6875
2024-06-07 20:00:54,0.625,0.5,0.5625,0.625
2024-06-07 20:30:44,0.5625,0.4375,0.5,0.5625
2024-06-07 21:00:57,0.5625,0.4375,0.5,0.5625
2024-06-07 21:30:55,0.4375,0.3125,0.375,0.5
2024-06-07 22:00:56,0.4375,0.3125,0.3125,0.375
2024-06-07 22:31:08,0.5,0.3125,0.375,0.375
2024-06-07 23:00:55,0.5,0.375,0.3125,0.3125
2024-06-07 23:30:56,0.5625,0.375,0.4375,0.4375
2024-06-08 00:00:56,0.625,0.4375,0.5,0.5
2024-06-08 00:30:45,0.625,0.5,0.5,0.5625
2024-06-08 01:00:55,0.6875,0.5625,0.5625,0.5625
2024-06-08 01:32:23,0.625,0.5,0.5625,0.625
2024-06-08 02:00:53,0.625,0.4375,0.4375,0.5
2024-06-08 02:30:43,0.625,0.5,0.4375,0.5
2024-06-08 03:00:54,0.6875,0.5,0.625,0.6875
2024-06-08 03:30:55,0.8125,0.6875,0.75,0.8125
2024-06-08 04:00:54,0.875,0.6875,0.8125,0.8125
2024-06-08 04:31:14,0.9375,0.75,0.8125,0.875
2024-06-08 05:00:54,1.0,0.875,0.875,0.8125
2024-06-08 05:30:53,1.1875,0.8125,0.625,0.875
2024-06-08 06:00:55,1.25,0.5625,0.625,0.625
2024-06-08 06:30:43,1.1875,0.9375,0.625,0.625
2024-06-08 07:00:54,1.25,1.0,0.625,0.5625
2024-06-08 07:31:28,1.3125,1.125,0.75,0.625
2024-06-08 08:00:54,1.3125,1.125,0.75,0.75
2024-06-08 08:30:42,1.25,1.0,0.8125,0.8125
2024-06-08 09:00:55,1.25,1.0625,0.9375,0.8125
2024-06-08 09:30:54,1.1875,1.0625,1.0,0.8125
2024-06-08 10:00:55,1.125,1.0,1.0,0.8125
2024-06-08 10:31:09,1.1875,1.0625,1.0625,0.875
2024-06-08 11:00:54,1.1875,1.0625,1.125,0.9375
2024-06-08 11:30:55,1.25,1.125,1.125,1.0
2024-06-08 12:00:55,1.375,1.1875,1.1875,1.0
2024-06-08 12:30:44,1.5625,1.25,1.0625,0.8125
2024-06-08 13:00:56,1.6875,1.25,0.9375,0.8125
2024-06-08 13:31:31,1.875,1.4375,1.0625,0.75
2024-06-08 14:00:56,2.125,1.125,0.8125,0.75
2024-06-08 14:30:46,2.1875,1.75,1.0625,0.75
2024-06-08 15:00:55,2.375,2.0,1.0625,0.8125
2024-06-08 15:30:56,2.875,2.75,2.6875,2.125
2024-06-08 16:00:55,3.0,2.875,2.6875,1.5
2024-06-08 16:31:06,2.6875,1.875,1.6875,1.4375
2024-06-08 17:00:54,2.125,1.75,1.5625,1.3125
2024-06-08 17:30:55,2.0,1.75,1.5625,1.25
2024-06-08 18:00:55,2.125,1.5625,1.3125,1.0625
2024-06-08 18:30:44,1.8125,1.25,1.0625,1.125
2024-06-08 19:00:55,1.1875,1.0625,1.0625,1.0625
2024-06-08 19:32:27,1.0625,0.9375,1.0,1.0625
2024-06-08 20:00:55,1.0,0.875,0.9375,0.9375
2024-06-08 20:30:44,1.125,1.0,1.0,1.0
2024-06-08 21:00:55,1.0,0.875,0.9375,1.0
2024-06-08 21:30:55,0.8125,0.6875,0.75,0.8125
2024-06-08 22:00:55,0.6875,0.5625,0.625,0.6875
2024-06-08 22:31:09,0.625,0.5,0.5625,0.625
2024-06-08 23:00:54,0.5625,0.4375,0.5,0.5625
2024-06-08 23:30:55,0.5625,0.4375,0.4375,0.5625
2024-06-09 00:00:55,0.5,0.375,0.4375,0.5
2024-06-09 00:30:45,0.4375,0.3125,0.375,0.4375
2024-06-09 01:00:55,0.375,0.25,0.3125,0.375
2024-06-09 01:31:31,0.375,0.25,0.3125,0.375
2024-06-09 02:00:54,0.375,0.25,0.25,0.375
2024-06-09 02:30:44,0.3125,0.1875,0.25,0.375
2024-06-09 03:00:55,0.3125,0.1875,0.25,0.3125
2024-06-09 03:30:55,0.3125,0.1875,0.25,0.3125
2024-06-09 04:00:55,0.3125,0.1875,0.25,0.3125
2024-06-09 04:31:34,0.3125,0.1875,0.25,0.3125
2024-06-09 05:00:54,0.3125,0.1875,0.1875,0.3125
2024-06-09 05:30:55,0.3125,0.1875,0.25,0.3125
